,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist;
"0,Elden Ring,""Feb 25, 2022"",""['Bandai Namco Entertainment', 'FromSoftware']"",4.5,3.9K,3.9K,""['Adventure', 'RPG']"",""Elden Ring is a fantasy, action and open world game with RPG elements such as stats, weapons and spells. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between."",""[""""The first playthrough of elden ring is one of the best eperiences gaming can offer you but after youve explored everything in the open world and you've experienced all of the surprises you lose motivation to go exploring on repeat playthroughs which takes a lot away from the replayability which is a very important thing for from games imo."""", 'a replay solidified my love for elden ring. so easily my favorite game of all time. actually beating malenia this time was also an amazing feeling. i just love being in this world man its the greatest of all time', 'The game is absolutely beautiful, with so much to do. The replayability is crazy. And it never gets old with it too.', 'Took everything great about the Soulsborne games and make it 100% better.', 'I play with my overlevelled friend every time and we still fail sometimes (he’s on NG6), insanely difficult game lol\n                     \n                     gorgeous graphics, animations, everything about this game is so beautiful. deserves all the hype it gets. If you have a powerful enough pc I definitely recommend you play it on there, if you use keyboard, you’ll want to change the keybinds because the defaults are ass.', """"Tied as my favorite souls game with Bloodborne, truly one I'll keep coming back too.""""]"",17K,3.8K,4.6K,4.8K";
"1,Hades,""Dec 10, 2019"",['Supergiant Games'],4.3,2.9K,2.9K,""['Adventure', 'Brawler', 'Indie', 'RPG']"",""A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants."",""['convinced this is a roguelike for people who do not like the genre. The art is technically good but the aesthetic does very little for me, too clean or something. idk wish I liked it but I do not', 'incredible art, a banger soundtrack a surprisingly charming storyline and a big red dog. hades has very smooth gameplay but after playing it for a while it just feels like youre doing the same 3 hit combo ove and over again, which dont get me wrong that combo feels great to do but once i becomes muscle memory you kinda go into autopilot. also i think the boons are cool but i would like to see them change the flow of combat a bit more, there are some cool ones like the grape boon that can change the way you play but most of them are just upgrades that dont really change the gameplay or strategy. other then those 2 small gripes the game is fantastic.', """"People tell me this game gets really really good at some point but i've beaten entire games in the amount of time I gave this game."""", 'Não sou muito de jogo indie, admito que joguei poucos, mas devo dizer que Hades foi um dos melhores jogos que joguei na vida, facilmente no top 15. Toda sua arte, dublagem, gameplay, carisma dos personagens, é tudo incrivel', """"I can't shake the feeling that I am thoroughly bored playing Hades. I've picked up Hades three times over the last few years, and three times I've found myself putting down the controller after a handful of hours, especially after reaching the third stage, and I couldn't figure out why it wasn't working for me. After giving it a few good goes, I've finally managed to pin down what it is that just doesn't click for me about Hades."""", 'One of my favorites in the rogue-likes/lites, only being beat by binding of Isaac. I love the characters (Thanatos my beloved) and the writing and the art style and RRRAAAAHHH THIS GAME IS AWESOME']"",21K,3.2K,6.3K,3.6K";
"2,The Legend of Zelda: Breath of the Wild,""Mar 03, 2017"",""['Nintendo', 'Nintendo EPD Production Group No. 3']"",4.4,4.3K,4.3K,""['Adventure', 'RPG']"",""The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time."",""['This game is the game (that is not CS:GO) that I have played the most ever. I have played this game for 400 hours.', """"A really good switch game, however didn't really grip me like mario odyssey"""", """"i was very disappointed by the final boss fight, but the rest of the game is so good it makes me not want to even do the final boss fight anyway just so i can play more of the game. i do wish that there were more unique mechanics in combat besides just parrying and link's flurry rush, but the world is really pretty and actually incentivizes exploring it. characters are great, story is great and makes you work for it, and there's tons of hidden secrets and details."""", 'em 105 horas de jogo não houve um segundo que eu não tava me divertindo e eu acho que isso diz muito', 'Sencillamente el mejor juego que he tenido el placer de disfrutar, esperé 5 años para poder jugarlo y puedo decir que valió cada segundo la espera. No estoy ni cerca de conseguir el 100%, tengo mas de 100 horas y aún estoy descubriendo cosas nuevas. Va más allá de un simple juego, es una experiencia que lamentablemente solo se puede vivir una vez en la vida y la recomiendo totalmente.', 'em meio a tanto jogo de mundo aberto ruim saindo por aí na última década, acho que da pra entender porque breath of the wild chocou tanto as pessoas no ano em que ele lançou. E realmente eu acho que é o melhor mundo aberto que eu já joguei até hoje, explorar cada pedacinho desse mundo é TÃO GOSTOSO, parece que tudo aqui tá no mapa tem um propósito para estar lá, diferente dos mapas vazios da ubisoft por exemplo. Acho que o unico defeito é esses sistema chatinho de durabilidade das armas, ficar trocando de arma o tempo todo é tão chato, espero que no próximo não tenha.']"",30K,2.5K,5K,2.6K";
"3,Undertale,""Sep 15, 2015"",""['tobyfox', '8-4']"",4.2,3.5K,3.5K,""['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"",""A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics."",""['soundtrack is tied for #1 with nier automata.  a super charming story and characters which have become iconic. and all that made by 1 man. thats it, thats the review i have no criticisms', 'Just play this game, Dont look at any of these reviews, just pick the game up and know nothing else about it if you are one of the lucky ones that didnt get spoiled on the game. It will fucking break you in the best of ways', 'Não há palavras que deem para descrever a experiência que foi esse jogo.', 'CLASSSSSSSSSSSSSSSICCCCCCCCCCCCCCCCCCC', 'whooaa ohh ohhhh ohoohhohh ohhwooaah story of undertale', 'A nice unique take on the RPG indie game format by incorporating really good ideas, funny interactions, an incredibly subtle story, and wonderful music. Definitely a must play if you have not already.']"",28K,679,4.9K,1.8K";
"4,Hollow Knight,""Feb 24, 2017"",['Team Cherry'],4.4,3K,3K,""['Adventure', 'Indie', 'Platform']"",""A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas."",""[""""this games worldbuilding is incredible, with its amazing soundtrack and gorgeous art direction it really makes you feel like you're spiderman.  one of the best value in gaming tbh, this game is packed full of content and none of it feels like filler. even the boss rush manages to feel fresh by introducing some surprise bosses/boss variants as rewards for beating tough pantheons. cant wait to play silksong when i turn 80!"""", """"This isn't just a game, this is an entire experience.\n                     \n                     I was not too much into Metroidvania games and then I tried this without any expectation, it became one of my favorite games of all time and brought me into the genre, now I'm seeking for similar adventures and I can't wait for Silksong.\n                     \n                     I've done all 112% in my first run and now I'm beating the game again, then I'll aim to master the game on Steam, and this is the first time a game instigated me to do that. Masterpiece."""", 'Faz uns 2/3 anos que eu zerei esse jogo, mesmo assim nunca saiu da minha memória.\n                     \n                     Vou rejogar para fazer uma análise mais aprofundada', 'i like how you can bounce on spikes with your nail. a good casual game that offers additional challenges for people that are socially challenged', 'A rivetting action/adventure game with a stunning design. Extremely rewarding but also gruesomly difficult at times.', 'I\'d give this game a 4 for each individual aspect (platforming, exploration, combat) but the integration and packaging of the content are so good, it\'s slightly better that the sum of its parts. Most of the combat and traversal abilities feel useful, and many evoke that Super Metroid-y, gleeful feeling that you\'ll finally be able to access that new area, grab that item, or beat that boss. The end-game challenges, reminiscent of Wiley\'s fortress and boss rushes after Megaman has fully self-actualized, were the highlight. Boss rushes in particular were fun to dissect and master. I found uses for some charms I had written off as """"not my style"""" to counter some of the unconventional boss mechanics. My only gripes:\n                     \n                     -The repeated backtracking. I get it - a fast-travel mechanic that\'s too liberal can erase the environment, but this was excessive.\n                     \n                     -Some of the charms seemed worthless, even after strategizing for boss, combat, and platforming rushes.\n                     \n                     -In the name of decency and civility, make geo-sucking ability automatic.']"",21K,2.4K,8.3K,2.3K";
"5,Minecraft,""Nov 18, 2011"",['Mojang Studios'],4.3,2.3K,2.3K,""['Adventure', 'Simulator']"",""Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon."",""['Minecraft is what you make of it. Unfortunately theres no reason to do anything.', 'muito bom, vc pode construir, usar sua imaginação, mods, sobreviver, jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização, (nunca zerei mesmo depois de muitos anos)', 'Jogo incrível, muito divertido, e com amigos fica ainda mais legal.', 'baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁', 'Майнкрафт сука это моя жизнь блядь! МАЙНКРААААФТ!!! Ой, мама пришла.', 'E um game maneiro mais jogar ele sem amigos ou sem mods é meio chato']"",33K,1.8K,1.1K,230";
"6,Omori,""Dec 25, 2020"",""['OMOCAT', 'PLAYISM']"",4.2,1.6K,1.6K,""['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"",""A turn-based surreal horror RPG in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well."",""[""""The best game I've played in my life"""", """"omori is a game held up by it's heartbreaking, emotional story and lifelike characters, and ultimately let down by lackluster battle mechanics and a gimmicky otherworld."""", 'I FUCKING LOVE AIR CONDITIONING.', 'didnt close my eyes', 'Still not finished but loving the game', 'One of my favorite games of all time, it definitely has flaws with it\'s pacing (god I fucking hate sweetheart\'s castle section) but the twist and just overall the characters are so likeable and well written like Aubrey, Kel and Hero...I don\'t really care too much about Sunny but he\'s alright I guess, gets the job done. I feel basil could definitely use some more screentime, the guy rarely gets any in the real world section of the game. The writing is pretty good too though I\'m not a fan of the """"le quirky random indie game writing xdddd"""" like this game has but there were times where it did make me chuckle.']"",7.2K,1.1K,4.5K,3.8K";
"7,Metroid Dread,""Oct 07, 2021"",""['Nintendo', 'MercurySteam']"",4.3,2.1K,2.1K,""['Adventure', 'Platform']"",""Join intergalactic bounty hunter Samus Aran in her first new 2D Metroid story in 19 years. Samus’ story continues after the events of the Metroid Fusion game when she descends upon planet ZDR to investigate a mysterious transmission sent to the Galactic Federation. The remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. Samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of ZDR?"",""['Have only been a Metroid fan for couple of years but I think this was worth the 19 year wait', 'The most unexpected Nintendo release of 2021, a pretty good offering by Mercury Steam, while some ideas are questionable like these invulnerable bosses that need to be avoided, they do add up to the tension. The final boss is unforgiving and punishes hard.', """"The best 2D metroid has been. The art design in this one pops out so much, you'll remember distinct areas for later. The abilities are so fast in this one, and some puzzles require some strong thinking even knowing where the item locations are."""", 'there was nothing dreadful about this game... nothing!', 'context sensitive grappling hooks are a hatecrime', 'This is by far the best 2D Metroid. Not only is the game loop refined but the cinematics and story really surprised me. Samus exudes badass every moment shes on screen.  A must play. Also the bosses are god damn brutal compared to previous Metroids.']"",9.2K,759,3.4K,3.3K";
"8,Among Us,""Jun 15, 2018"",['InnerSloth'],3.0,867,867,""['Indie', 'Strategy']"",""Join your crew-mates in a multiplayer game of teamwork and betrayal! Play with 4-15 players online or via local WiFi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the Crew are Impostors bent on killing everyone!"",""[""""it's a solid party game. i'm bad at lying though and it makes me feel bad";" not a complaint with the game, it's a complaint with myself that makes it harder for me personally to enjoy"""", 'ඞ amogus', 'lie to your friends simulator', 'Amogus', 'I vote we just shoot Wawa into space and see what happens.', 'ya, i beat among us, what about it']"",25K,470,776,126"
"9,NieR: Automata,""Feb 23, 2017"",""['PlatinumGames', 'Square Enix']"",4.3,2.9K,2.9K,""['Brawler', 'RPG']"",""NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines."",""['Holy shit', 'im carrying the weight of the wooooooooooooooooooorld', 'no me llamaba la atención y lo compré por el precio y un cacho de curiosidad... me volvió totalmente loco todo, la historia, el arte, el mundo  y la BANDA SONORA SEXO', '😋😍🥰🥵', 'NieR: Automata is an unforgettable game. Androids vs. Machines, all while trying to save humanity, and uncover the cold truth of this post-apocalyptic world. 2B and 9S share a common goal, but have differing views through the story. The combat is more fleshed out than its predecessor due to chips and pod mechanics. Characters change and face reality after meeting characters and concepts never seen before.', 'This is my favorite game ever and the only game I cared enough about to get the platinum trophy in. I might be biased here but the game has a lot of things I loved going in like the post apocalyptic setting. The game isn’t perfect and while things like the 9s hacking and route b pushed a lot of people away I still thoroughly enjoyed it. Getting ending s and the final shut em up section in the credits ending with me giving up my save file to protect a fellow player is one of the most beautiful moments I’ve seen in fiction as a whole']"",18K,1.1K,6.2K,3.6K";
